nr_cnpj_entidade,sg_uf,no_ente,dt_mes_bimestre,dt_ano,no_segmento,no_tipo_ativo,pc_cmn,id_ativo,no_fundo,qt_rpps,vl_atual_ativo,vl_total_atual,pc_rpps,vl_patrimonio,pc_patrimonio
29131075000193,RJ,Maricá,2,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,07442078000105,BB PREVIDENCIARIO RENDA FIXA IMA-B TITULOS PUBLICOS FUNDO DE INVESTIMENTO,0.0004323710,7.8181628300,0.0,0.00,3032892573.46,0.00
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,03543447000103,BB PREVIDENCIARIO RENDA FIXA IMA-B 5 LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,2129385.0086814330,29.6055630000,63041642.03,12.28,3939047508.98,1.60
29131075000193,RJ,Maricá,3,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,03543447000103,BB PREVIDENCIARIO RENDA FIXA IMA-B 5 LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,301688.8211157720,28.7886095370,8685201.67,1.94,4015056024.79,0.22
29131075000193,RJ,Maricá,3,2025,Disponibilidades Financeiras,,,1244/89-1,104 - Caixa Econômica Federal,1.0000000000,6278.0500000000,6278.05,0.00,,
29131075000193,RJ,Maricá,4,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,23215097000155,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BRASIL GESTAO ESTRATEGICA RENDA FIXA,11912780.4885030500,2.1162120000,25209969.02,5.46,3388406820.37,0.74
29131075000193,RJ,Maricá,4,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740670000106,FUNDO DE INVESTIMENTO CAIXA BRASIL IRF-M 1 TITULOS PUBLICOS RENDA FIXA,3017097.5627693940,3.8734440000,11686558.45,2.53,8410626309.55,0.14
29131075000193,RJ,Maricá,4,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11060913000110,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B 5 TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,1419857.2437300000,4.5931560000,6521625.82,1.41,5901283588.37,0.11
29131075000193,RJ,Maricá,1,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,30036235000102,FUNDO DE INVESTIMENTO CAIXA BOLSA AMERICANA MULTIMERCADO LONGO PRAZO,1228160.9947121530,2.7399110000,3365051.82,0.79,2136969086.50,0.16
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,13077415000105,BB PREVIDENCIARIO  FLUXO  RENDA  FIXA  SIMPLES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS  DE INVESTIMENTO,7724493.6295560000,3.1610330000,24417379.27,4.76,4686070040.55,0.52
29131075000193,RJ,Maricá,2,2025,Disponibilidades Financeiras,,,8906/31126-4,341 - Itaú Unibanco S.A.,1.0000000000,0.0000000000,0.0,0.00,,
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,13322205000135,BB PREVIDENCIARIO RENDA FIXA IDKA 2 TITULOS PUBLICOS FUNDO DE INVESTIMENTO,15665070.5196953330,4.1253979960,64624650.53,13.42,4417420635.98,1.46
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,35292588000189,BB  PREVIDENCIARIO  RENDA  FIXA  ALOCACAO  ATIVA  RETORNO  TOTAL  FUNDO  DE  INVESTIMENTO EM COTAS  DE FUNDOS DE INVESTIMENTO,16396545.6755801754,1.5376350880,25211903.95,5.24,4851044752.91,0.52
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740670000106,FUNDO DE INVESTIMENTO CAIXA BRASIL IRF-M 1 TITULOS PUBLICOS RENDA FIXA,63044.7556730000,3.9552030000,249354.81,0.05,8802049921.20,0.00
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,39255739000180,BB PREVIDENCIARIO RENDA FIXA TITULOS PUBLICOS VERTICE ESPECIAL 2026 FIF RESPONSABILIDADE LIMITADA,1684208.4021366070,1.0079670000,1697626.49,0.33,766814550.24,0.22
29131075000193,RJ,Maricá,3,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,34660276000118,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BRASIL ESTRATEGIA LIVRE MULTIMERCADO LONGO PRAZO,3103.8308373650,1341.4771210000,4163718.06,0.93,144743555.01,2.88
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11060913000110,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B 5 TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,37573.7163230000,4.4620160000,167654.52,0.04,6117661899.67,0.00
29131075000193,RJ,Maricá,4,2025,Disponibilidades Financeiras,,,4439/450000045,33 - Banco Santander (Brasil) S.A.,1.0000000000,53662.8300000000,53662.83,0.01,,
29131075000193,RJ,Maricá,2,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,14213331000114,BB DIVIDENDOS MIDCAPS FIC ACOES,3034636.3888407710,2.5505457500,7739978.94,1.76,716814929.74,1.08
29131075000193,RJ,Maricá,3,2025,Disponibilidades Financeiras,,,2280/32995-9,1 - Banco do Brasil S.A.,1.0000000000,0.0000000000,0.0,0.00,,
29131075000193,RJ,Maricá,3,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,14213331000114,BB DIVIDENDOS MIDCAPS FIC ACOES,3034636.3888407710,2.6024639300,7897531.74,1.76,723926587.07,1.09
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11328882000135,BB PREVIDENCIARIO RENDA FIXA IRF-M1 TITULOS PUBLICOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO,4496550.7543862500,4.0676624640,18290450.72,3.80,9348920234.27,0.20
29131075000193,RJ,Maricá,3,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,23215097000155,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BRASIL GESTAO ESTRATEGICA RENDA FIXA,11912780.4885030500,2.0820870000,24803445.39,5.54,3492532497.17,0.71
29131075000193,RJ,Maricá,3,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740658000193,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,1027.5622510000,4.5015030000,4625.57,0.00,2336633554.24,0.00
29131075000193,RJ,Maricá,6,2025,Disponibilidades Financeiras,,,8906/31126-4,341 - Itaú Unibanco S.A.,1.0000000000,0.0000000000,0.0,0.00,,
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,13077415000105,BB PREVIDENCIARIO  FLUXO  RENDA  FIXA  SIMPLES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS  DE INVESTIMENTO,19825628.6244640000,3.0128768080,59732176.69,14.01,4468412591.20,1.34
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Ativos de Renda Fixa Emitidos por Instituições Financeiras - Art. 7º  IV,20,,etra Financeira Santander,1.0000000000,23578790.1800000000,23578790.18,4.59,0.00,0.00
29131075000193,RJ,Maricá,3,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,15154220000147,FUNDO DE INVESTIMENTO EM ACOES CAIXA SMALL CAPS ATIVO,1605361.4792442820,1.2792740000,2053697.2,0.46,496851206.35,0.41
29131075000193,RJ,Maricá,4,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,34660276000118,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BRASIL ESTRATEGIA LIVRE MULTIMERCADO LONGO PRAZO,3103.8308373650,1348.6143120000,4185870.69,0.91,136116646.05,3.08
29131075000193,RJ,Maricá,2,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11060913000110,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B 5 TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,37573.7163230000,4.4904010000,168721.05,0.04,5990578271.77,0.00
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,35292588000189,BB  PREVIDENCIARIO  RENDA  FIXA  ALOCACAO  ATIVA  RETORNO  TOTAL  FUNDO  DE  INVESTIMENTO EM COTAS  DE FUNDOS DE INVESTIMENTO,16396545.6755801754,1.4747280620,24180446.03,5.67,5181773678.22,0.47
29131075000193,RJ,Maricá,2,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740670000106,FUNDO DE INVESTIMENTO CAIXA BRASIL IRF-M 1 TITULOS PUBLICOS RENDA FIXA,63044.7556730000,3.7890930000,238882.44,0.05,8210316090.70,0.00
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,03543447000103,BB PREVIDENCIARIO RENDA FIXA IMA-B 5 LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,301688.8211157720,29.4796289150,8893674.49,1.85,4008316694.85,0.22
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740658000193,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,63990.4730470000,4.6718250000,298952.29,0.06,2354627354.78,0.01
29131075000193,RJ,Maricá,3,2025,Disponibilidades Financeiras,,,1244/56-5,104 - Caixa Econômica Federal,1.0000000000,15556.3600000000,15556.36,0.00,,
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10577519000190,FUNDO DE INVESTIMENTO CAIXA BRASIL IRF-M 1+ TITULOS PÚBLICOS RENDA FIXA LONGO PRAZO,0.0008667090,2.5494560000,0.0,0.00,2662649198.69,0.00
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740658000193,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,63990.4730470000,4.3990990000,281500.43,0.07,2565232120.66,0.01
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11328882000135,BB PREVIDENCIARIO RENDA FIXA IRF-M1 TITULOS PUBLICOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO,4496550.7543862500,3.8997662420,17535496.84,4.11,8531806470.21,0.21
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,35292588000189,BB  PREVIDENCIARIO  RENDA  FIXA  ALOCACAO  ATIVA  RETORNO  TOTAL  FUNDO  DE  INVESTIMENTO EM COTAS  DE FUNDOS DE INVESTIMENTO,0.0001234520,1.4747280620,0.0,0.00,5181773678.22,0.00
29131075000193,RJ,Maricá,5,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,08070841000187,CAIXA ALOCAÇÃO MACRO FIC MULTIMERCADO LP,618610.4912240000,4.8987500000,3030418.14,0.63,909712419.62,0.33
29131075000193,RJ,Maricá,4,2025,Disponibilidades Financeiras,,,8906/31126-4,341 - Itaú Unibanco S.A.,1.0000000000,0.0000000000,0.0,0.00,,
29131075000193,RJ,Maricá,5,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,29258294000138,BB  ACOES  VALOR FUNDO  DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,5166351.1565773520,1.6470750710,8509368.2,1.77,621880826.89,1.37
29131075000193,RJ,Maricá,2,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,13077415000105,BB PREVIDENCIARIO  FLUXO  RENDA  FIXA  SIMPLES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS  DE INVESTIMENTO,3919039.6635720000,3.0401288200,11914385.43,2.72,4711064854.90,0.25
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,49964637000197,BB PREVIDENCIARIO RENDA FIXA TITULOS PUBLICOS VERTICE ESPECIAL 2027 FIF RESPONSABILIDADE LIMITADA,1565060.6192315290,1.0040660000,1571424.16,0.31,170395968.05,0.92
29131075000193,RJ,Maricá,5,2025,Disponibilidades Financeiras,,,1244/90-5,104 - Caixa Econômica Federal,1.0000000000,7936.2400000000,7936.24,0.00,,
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11060913000110,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B 5 TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,1419857.2437300000,4.6410620000,6589645.5,1.28,5882079728.77,0.11
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,13077415000105,BB PREVIDENCIARIO  FLUXO  RENDA  FIXA  SIMPLES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS  DE INVESTIMENTO,29891291.5419390000,3.1292122230,93536194.85,19.42,4525393998.58,2.07
29131075000193,RJ,Maricá,2,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,23215097000155,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BRASIL GESTAO ESTRATEGICA RENDA FIXA,11912780.4885030500,2.0678110000,24633378.53,5.61,3603402390.35,0.68
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,03543447000103,BB PREVIDENCIARIO RENDA FIXA IMA-B 5 LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,1302284.5324787960,28.4560908450,37057926.96,8.69,4149106442.53,0.89
29131075000193,RJ,Maricá,6,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,15154220000147,FUNDO DE INVESTIMENTO EM ACOES CAIXA SMALL CAPS ATIVO,1605361.4792442820,1.4650320000,2351905.94,0.46,505172872.01,0.47
29131075000193,RJ,Maricá,4,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,03737188000143,FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO,261535.6822700000,10.5903250000,2769747.87,0.60,339832411.23,0.82
29131075000193,RJ,Maricá,6,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11328882000135,BB PREVIDENCIARIO RENDA FIXA IRF-M1 TITULOS PUBLICOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO,4496550.7543862500,4.1096700000,18479339.74,3.60,9402474657.80,0.20
29131075000193,RJ,Maricá,2,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,30036235000102,FUNDO DE INVESTIMENTO CAIXA BOLSA AMERICANA MULTIMERCADO LONGO PRAZO,1228160.9947121530,2.7153630000,3334902.92,0.76,2140832727.01,0.16
29131075000193,RJ,Maricá,5,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11060913000110,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B 5 TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,1419857.2437300000,4.6211880000,6561427.26,1.36,5955272309.13,0.11
29131075000193,RJ,Maricá,3,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,10740658000193,FUNDO DE INVESTIMENTO CAIXA BRASIL IMA-B TITULOS PUBLICOS RENDA FIXA LONGO PRAZO,63990.4730470000,4.5015030000,288053.31,0.06,2336633554.24,0.01
29131075000193,RJ,Maricá,4,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,11328882000135,BB PREVIDENCIARIO RENDA FIXA IRF-M1 TITULOS PUBLICOS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO,4496550.7543862500,4.0252650590,18099808.64,3.92,9210593528.87,0.20
29131075000193,RJ,Maricá,4,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,13077415000105,BB PREVIDENCIARIO  FLUXO  RENDA  FIXA  SIMPLES  FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS  DE INVESTIMENTO,2884909.4607690000,3.0965138300,8933162.04,1.93,4911669179.07,0.18
29131075000193,RJ,Maricá,1,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,03737188000143,FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO,261535.6822700000,10.1941300000,2666128.74,0.63,386037798.52,0.69
29131075000193,RJ,Maricá,5,2025,Disponibilidades Financeiras,,,1244/89-1,104 - Caixa Econômica Federal,1.0000000000,6278.0500000000,6278.05,0.00,,
29131075000193,RJ,Maricá,3,2025,Renda Fixa,Fundo/Classe de Investimento em Renda Fixa - Geral - Art. 7º  III  a,60,35292588000189,BB  PREVIDENCIARIO  RENDA  FIXA  ALOCACAO  ATIVA  RETORNO  TOTAL  FUNDO  DE  INVESTIMENTO EM COTAS  DE FUNDOS DE INVESTIMENTO,0.0001234520,1.5038431000,0.0,0.00,4878182880.73,0.00
29131075000193,RJ,Maricá,1,2025,Disponibilidades Financeiras,,,1244/56-5,104 - Caixa Econômica Federal,1.0000000000,209734.7600000000,209734.76,0.05,,
29131075000193,RJ,Maricá,2,2025,Investimentos Estruturados,Fundo/Classe de Investimento Multimercado FIM - Art. 10  I,10,10418362000150,BB PREVIDENCIARIO MULTIMERCADO FUNDO DE INVESTIMENTO LONGO PRAZO,743077.2022400000,4.1609128600,3091879.49,0.70,288239940.76,1.07
29131075000193,RJ,Maricá,2,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,07882792000114,BB  ACOES  SELECAO FATORIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,1075084.0379293700,2.5030645300,2691004.72,0.61,880220434.69,0.31
29131075000193,RJ,Maricá,2,2025,Renda Variável,Fundo/Classe de Investimento em Ações - Art. 8º  I,30,29258294000138,BB  ACOES  VALOR FUNDO  DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,5166351.1565773520,1.4756334100,7623640.37,1.74,632075707.68,1.21
29131075000193,RJ,Maricá,4,2025,Renda Variável,Fundo/Classe de Investimento em BDR-Ações - art. 8º  III,30,17502937000168,FUNDO DE INVESTIMENTO EM ACOES CAIXA INSTITUCIONAL BDR NIVEL I,324783.9374855880,8.7040027600,2826920.29,0.61,2231185446.50,0.13
29131075000193,RJ,Maricá,4,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,07442078000105,BB PREVIDENCIARIO RENDA FIXA IMA-B TITULOS PUBLICOS FUNDO DE INVESTIMENTO,1663814.2962621200,8.1257204490,13519689.85,2.93,2958723811.69,0.46
29131075000193,RJ,Maricá,1,2025,Renda Fixa,Fundo/Classe de Investimento - 100% Títulos Públicos SELIC - Art. 7º  I  b,100,07442078000105,BB PREVIDENCIARIO RENDA FIXA IMA-B TITULOS PUBLICOS FUNDO DE INVESTIMENTO,49368.8182310000,7.7796540190,384072.33,0.09,3269210872.49,0.01
